type,lookback,n_long,n_short,total_return,ann_return,ann_vol,sharpe,max_drawdown,calmar,n_weeks,key
momentum,26,3,8,1.0311317126118094,0.19279665896492704,0.2898313149841886,0.665202995664719,-0.4795462393131996,0.4020397683465271,209,momentum_lb26_L3_S8
momentum,13,8,8,0.7036368337107399,0.1417407151646719,0.21369763978113648,0.6632769332868581,-0.37824510754186047,0.3747324481889972,209,momentum_lb13_L8_S8
hybrid,2,10,8,0.5001847451810237,0.10617919698767508,0.17067606986020337,0.6221094560862802,-0.26305812840694764,0.40363397105683496,209,hybrid_lb2_L10_S8
mean_reversion,4,3,0,1.368418587256711,0.23927217398432354,0.38757406100900854,0.6173585852505286,-0.4608747505845323,0.5191696305359582,209,mean_reversion_lb4_L3_S0
hybrid,26,5,8,0.7485500614411513,0.14915664556075003,0.25014132244205617,0.5962895058864228,-0.2750795241658047,0.5422310003373627,209,hybrid_lb26_L5_S8
momentum,4,3,8,0.815935173718114,0.1600191440835923,0.2737712522879696,0.5844994415822529,-0.3080985525735871,0.5193764876430988,209,momentum_lb4_L3_S8
momentum,13,10,8,0.5617271322912987,0.11729975556576866,0.20516468230914134,0.5717346389522435,-0.3567631740734092,0.32878885515698586,209,momentum_lb13_L10_S8
momentum,13,5,5,0.7192620779205396,0.14433718722459377,0.268013166146488,0.538545136792658,-0.3800340510079061,0.379800670076248,209,momentum_lb13_L5_S5
hybrid,26,8,8,0.578850574848919,0.12033526707023778,0.22350288475317398,0.5384058787569134,-0.34253873086283715,0.3513041190031841,209,hybrid_lb26_L8_S8
hybrid,26,10,8,0.5051537485073467,0.10708967088091237,0.20630592388163427,0.5190818996664094,-0.35296496267036626,0.30340028673305836,209,hybrid_lb26_L10_S8
hybrid,2,5,8,0.5151296384593083,0.10891076476696515,0.21292689101807385,0.5114937068128257,-0.3802978514691341,0.28638280323233595,209,hybrid_lb2_L5_S8
momentum,8,3,5,0.7892794409297212,0.15575903282199355,0.30545059866384033,0.5099319939242029,-0.3353432667858398,0.4644763985121726,209,momentum_lb8_L3_S5
momentum,8,3,8,0.7140943893341909,0.14348043310000258,0.28474352738433784,0.503893571938291,-0.3614010388646115,0.39701167863480713,209,momentum_lb8_L3_S8
momentum,26,5,5,0.695492622273626,0.14038028003260505,0.2800480679312645,0.5012720890010219,-0.3918381475657716,0.3582608811946817,209,momentum_lb26_L5_S5
momentum,8,5,5,0.6551768633510007,0.1335725641452572,0.27041541771976774,0.4939532119565713,-0.3017158544657077,0.44270979522038584,209,momentum_lb8_L5_S5
momentum,8,5,8,0.5836380813658795,0.12117953322855102,0.24858723603809738,0.487472869322943,-0.33281374344726944,0.36410615731603807,209,momentum_lb8_L5_S8
hybrid,26,3,8,0.6327345637138235,0.12972883281931935,0.2828556369556709,0.458639729494415,-0.2866644270098506,0.45254597569883165,209,hybrid_lb26_L3_S8
momentum,26,8,5,0.5385591122824769,0.11315265345467984,0.24990360253980468,0.4527852031931267,-0.3081422737745426,0.3672091208669079,209,momentum_lb26_L8_S5
momentum,13,3,5,0.6393453660025188,0.13086517845782142,0.30460752143855296,0.4296189990312509,-0.4968546592783454,0.2633872421522544,209,momentum_lb13_L3_S5
momentum,4,5,3,0.56013898392883,0.11701695607467366,0.27442271944667074,0.4264113274244185,-0.25010229520626703,0.46787637825620987,209,momentum_lb4_L5_S3
hybrid,2,8,8,0.3580943768538787,0.07912929052637518,0.18637850608946396,0.42456231776207154,-0.31692025555304193,0.24968202296912376,209,hybrid_lb2_L8_S8
momentum,26,3,5,0.6416799391657944,0.1312656510083945,0.3161102187477799,0.41525279229625156,-0.5700407456707088,0.23027415497105838,209,momentum_lb26_L3_S5
hybrid,13,5,8,0.42340418033331084,0.09181398346832781,0.2350388352543208,0.390633247348174,-0.3722839002023951,0.2466235671712164,209,hybrid_lb13_L5_S8
momentum,4,8,3,0.4466492350598037,0.09622319827528392,0.25552243442305966,0.37657436417489076,-0.28822948422757844,0.33384231503293604,209,momentum_lb4_L8_S3
